"","file","raw_reads","no-N_reads","reads_passing_cutadapt","reads_passing_QC","denoisedF","denoisedR","merged","nonchim"
"1","FST_10F_R1.fq.gz",478039,478017,477992,432723,423894,424871,388379,344124
"2","FST_11F_R1.fq.gz",465028,465006,464980,426148,417604,418965,381601,323317
"3","FST_12F_R1.fq.gz",545235,545203,545174,494048,485959,486691,460498,406689
"4","FST_13F_R1.fq.gz",482838,482831,482796,437573,428465,430099,406000,365269
"5","FST_14F_R1.fq.gz",370217,370198,370180,327648,320317,321957,303713,272318
"6","FST_15F_R1.fq.gz",281015,281001,280990,254723,249325,250007,237366,218625
"7","FST_16F_R1.fq.gz",468507,468479,468449,425451,416526,417857,392861,352388
"8","FST_17F_R1.fq.gz",622804,622765,622586,564353,555254,556430,531329,480961
"9","FST_18F_R1.fq.gz",340076,340065,340046,309628,302687,304198,286897,265085
"10","FST_19F_R1.fq.gz",378922,378893,378864,343837,335924,337105,316805,290666
"11","FST_1F_R1.fq.gz",418055,418036,418020,384547,377380,377768,344438,311163
"12","FST_20F_R1.fq.gz",457260,457249,457231,415870,407961,409151,386280,345748
"13","FST_21F_R1.fq.gz",322953,322940,322921,294994,288127,289561,273831,248910
"14","FST_22F_R1.fq.gz",374573,374568,374556,319986,312858,314463,296197,274285
"15","FST_23F_R1.fq.gz",488509,488479,488447,442674,434046,435521,409511,372745
"16","FST_24F_R1.fq.gz",374687,374678,374666,342906,336658,337454,320887,304688
"17","FST_25F_R1.fq.gz",671566,671541,671503,609555,600483,601580,570338,527243
"18","FST_26F_R1.fq.gz",584953,584903,584867,528263,518964,520368,489026,433589
"19","FST_27F_R1.fq.gz",692025,691985,691941,610259,600431,601532,570812,513738
"20","FST_28F_R1.fq.gz",474506,474491,474455,427384,420143,421045,401665,379619
"21","FST_29F_R1.fq.gz",534006,533986,533957,486658,478242,479756,454928,426710
"22","FST_2F_R1.fq.gz",424643,424617,424594,385983,378039,379082,349938,312205
"23","FST_30F_R1.fq.gz",661569,661543,661512,591733,581602,583501,536139,495534
"24","FST_31F_R1.fq.gz",371599,371590,371571,335731,329761,330623,314135,300315
"25","FST_32F_R1.fq.gz",499440,499427,499400,455246,448808,449385,429234,415106
"26","FST_33F_R1.fq.gz",584699,584685,584658,527050,518318,519176,495284,459867
"27","FST_34F_R1.fq.gz",558054,558004,557977,503740,495806,497204,473337,433864
"28","FST_35F_R1.fq.gz",442404,442377,442362,398180,390486,391558,367921,337093
"29","FST_36F_R1.fq.gz",548051,548023,547995,497190,488414,490013,464847,418963
"30","FST_37F_R1.fq.gz",376336,376326,376313,339926,333217,333874,318057,289839
"31","FST_38F_R1.fq.gz",372868,372857,372846,338073,332601,332887,319603,304803
"32","FST_39F_R1.fq.gz",485599,485586,485568,441189,432874,433574,410625,371134
"33","FST_3F_R1.fq.gz",433274,433267,433249,394170,387022,388324,366942,341518
"34","FST_40F_R1.fq.gz",468498,468484,468468,425377,417068,418566,396881,358420
"35","FST_41F_R1.fq.gz",489166,489153,489141,441251,433311,434269,414433,379633
"36","FST_42F_R1.fq.gz",391688,391675,391649,354141,346165,347577,328053,298375
"37","FST_43F_R1.fq.gz",493482,493460,493417,447165,437981,439633,413093,376981
"38","FST_44F_R1.fq.gz",332976,332959,332933,301972,294592,295854,277753,253946
"39","FST_45F_R1.fq.gz",437426,437407,437385,392658,384711,386245,362856,316399
"40","FST_46F_R1.fq.gz",529623,529601,529566,476181,467780,468633,444274,413076
"41","FST_47F_R1.fq.gz",533221,533198,533158,483262,474869,475886,453728,413614
"42","FST_48F_R1.fq.gz",481084,481051,481010,434086,425503,427191,402494,369107
"43","FST_49F_R1.fq.gz",327476,327472,327468,296582,293053,293172,284725,277612
"44","FST_4F_R1.fq.gz",499565,499542,499510,453532,444002,445745,417738,378820
"45","FST_50F_R1.fq.gz",419830,419812,419786,381013,374316,375034,357225,335007
"46","FST_51F_R1.fq.gz",575438,575412,575343,527768,522347,522154,508449,491165
"47","FST_52F_R1.fq.gz",546323,546305,546228,494277,488163,488538,473689,457051
"48","FST_53F_R1.fq.gz",620216,620191,620128,563170,558756,558188,542187,532147
"49","FST_54F_R1.fq.gz",466401,466345,466074,423426,418265,417925,404769,388945
"50","FST_55F_R1.fq.gz",703783,703747,703685,638806,633077,633234,615936,601095
"51","FST_56F_R1.fq.gz",649528,649491,649414,595247,588782,589279,570212,547995
"52","FST_57F_R1.fq.gz",746854,746838,746779,680267,675793,675218,662832,643715
"53","FST_58F_R1.fq.gz",632761,632740,632676,567588,561973,561576,545895,529770
"54","FST_59F_R1.fq.gz",501609,501587,501545,455925,452128,452585,444386,437067
"55","FST_5F_R1.fq.gz",615047,615017,614993,558216,549205,549902,513772,445459
"56","FST_60F_R1.fq.gz",671687,671647,671580,602332,597750,597715,583963,574782
"57","FST_61F_R1.fq.gz",508222,508204,508111,464270,459221,459253,445014,432192
"58","FST_62F_R1.fq.gz",593897,593869,593791,534994,529125,529512,513889,497635
"59","FST_63F_R1.fq.gz",572997,572980,572916,521295,514195,514502,485023,453861
"60","FST_64F_R1.fq.gz",446598,446577,446520,406243,400612,400324,384304,355361
"61","FST_65F_R1.fq.gz",434230,434206,434150,395538,390479,390720,376042,359755
"62","FST_66F_R1.fq.gz",695694,695660,695548,636520,631155,630782,614793,599487
"63","FST_67F_R1.fq.gz",530679,530650,530570,484509,478365,478683,466213,441463
"64","FST_68F_R1.fq.gz",571621,571591,571533,520166,515342,515408,498323,488035
"65","FST_69F_R1.fq.gz",901041,900078,899857,825805,821700,821311,808663,793517
"66","FST_6F_R1.fq.gz",548426,548403,548372,498515,489117,490652,464537,416370
"67","FST_70F_R1.fq.gz",551187,551171,551123,503839,499233,498697,484380,470126
"68","FST_71F_R1.fq.gz",554789,554763,554696,508598,503605,502965,488537,476325
"69","FST_72F_R1.fq.gz",562821,562805,562755,510420,505360,506270,492283,469824
"70","FST_73F_R1.fq.gz",631352,631331,631271,572439,568029,567848,551856,542006
"71","FST_74F_R1.fq.gz",579316,579249,579211,534124,530594,529530,509015,497671
"72","FST_75F_R1.fq.gz",627244,627233,627193,569661,564704,564471,544005,533174
"73","FST_76F_R1.fq.gz",555138,555120,554985,497187,491039,490947,472261,425759
"74","FST_77F_R1.fq.gz",549766,549730,549678,485010,481305,481166,469381,463963
"75","FST_78F_R1.fq.gz",605639,605615,605197,545299,542224,542113,534985,508677
"76","FST_79F_R1.fq.gz",771514,771394,771327,711929,707338,707301,693790,680667
"77","FST_7F_R1.fq.gz",583364,583341,583294,529346,519644,521066,491123,436558
"78","FST_80F_R1.fq.gz",783611,783596,783541,711301,706347,706480,691407,673593
"79","FST_81F_R1.fq.gz",902049,902004,901336,812054,806109,805774,791968,770908
"80","FST_82F_R1.fq.gz",703132,703073,703029,644967,641033,640853,625954,614877
"81","FST_83F_R1.fq.gz",1088626,1088603,1087414,978506,973977,973363,961177,934456
"82","FST_84F_R1.fq.gz",533668,533656,533621,484983,481527,481505,471477,463318
"83","FST_85F_R1.fq.gz",524274,524255,524211,475992,472451,472699,462601,453949
"84","FST_86F_R1.fq.gz",636894,636855,636504,566049,563106,563013,557668,544158
"85","FST_87F_R1.fq.gz",423369,423356,423316,380397,376725,376550,366086,346961
"86","FST_88F_R1.fq.gz",390575,390388,390287,356038,351708,351562,340584,318517
"87","FST_89F_R1.fq.gz",530094,530060,530014,483880,480497,480693,473677,468176
"88","FST_8F_R1.fq.gz",476006,475997,475972,431261,422175,423453,391342,351202
"89","FST_90F_R1.fq.gz",550356,550318,550288,500326,497314,497619,490061,480715
"90","FST_91F_R1.fq.gz",528429,527919,527856,477940,474267,474136,463503,451839
"91","FST_92F_R1.fq.gz",480452,480402,480351,438601,434873,434939,422367,413792
"92","FST_93F_R1.fq.gz",477717,477627,477569,433369,429740,429152,418510,398942
"93","FST_94F_R1.fq.gz",387573,387541,387492,357530,354636,354587,347466,342102
"94","FST_95F_R1.fq.gz",552131,552097,551989,497835,493950,493543,478292,464930
"95","FST_96F_R1.fq.gz",559272,559152,558776,509834,505182,504904,483549,467316
"96","FST_97F_R1.fq.gz",616082,616040,615551,504250,501722,500854,495074,483278
"97","FST_98F_R1.fq.gz",1413118,1413094,1394663,816668,812926,812282,792797,752245
"98","FST_99F_R1.fq.gz",776317,776296,775996,705218,702062,701591,690584,668460
"99","FST_9F_R1.fq.gz",442800,442770,442760,401960,396215,397136,384780,367915
